ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
ERROR  2017-02-17 13:40:44,482  not found
INFO  2017-02-17 13:40:49,483  page 2
INFO  2017-02-17 13:40:49,485  proxy added
INFO  2017-02-17 13:40:51,350  金茂广场的核心卖点户型介绍还有小区介绍
INFO  2017-02-17 13:40:51,351  富力津门湖鸣泉花园 2室1厅 355万
INFO  2017-02-17 13:40:51,352  荣迁东里 2室1厅 165万
INFO  2017-02-17 13:40:51,353  天房美域豪庭 1室1厅 215万
INFO  2017-02-17 13:40:51,354  建红里 2室0厅 110万
INFO  2017-02-17 13:40:51,355  元兴新里 1室1厅 180万
INFO  2017-02-17 13:40:51,360  兰江新苑 1室1厅 153万
INFO  2017-02-17 13:40:51,365  松江里 1室1厅 160万
INFO  2017-02-17 13:40:51,366  昆仑北里C区 2室1厅 235万
INFO  2017-02-17 13:40:51,367  苏州里 2室1厅 148万
INFO  2017-02-17 13:40:51,368  万科金色雅筑北苑 1室1厅 68万
INFO  2017-02-17 13:40:51,369  林苑东里 2室1厅 300万
INFO  2017-02-17 13:40:51,373  向荣里 1室1厅 246万
INFO  2017-02-17 13:40:51,375  保利大都会天汇雅苑 4室2厅 1500万
INFO  2017-02-17 13:40:51,380  千间小区 1室1厅 65万
INFO  2017-02-17 13:40:51,381  顺通家园 2室1厅 200万
INFO  2017-02-17 13:40:51,382  星品大厦 1室1厅 122万
INFO  2017-02-17 13:40:51,389  君悦花苑 2室1厅 190万
INFO  2017-02-17 13:40:51,391  艺术家园 3室2厅 310万
INFO  2017-02-17 13:40:51,396  子牙东里 1室1厅 96万
INFO  2017-02-17 13:40:51,400  万科魅力之城兰雅苑 2室1厅 195万
INFO  2017-02-17 13:40:51,405  裕泰家园 2室1厅 180万
INFO  2017-02-17 13:40:51,406  水西园 2室1厅 460万
INFO  2017-02-17 13:40:51,407  淮兴园 2室1厅 200万
INFO  2017-02-17 13:40:51,408  水竹花园 2室2厅 320万
INFO  2017-02-17 13:40:51,413  贵贤里 2室1厅 220万
INFO  2017-02-17 13:40:51,414  盈江东里 1室1厅 140万
INFO  2017-02-17 13:40:51,419  淮祥园 3室2厅 248万
INFO  2017-02-17 13:40:51,420  松江城武台馨苑 2室2厅 292万
INFO  2017-02-17 13:40:51,421  新中里 2室1厅 290万
ERROR  2017-02-17 13:40:51,422  not found
ERROR  2017-02-17 13:40:51,422  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,423  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
ERROR  2017-02-17 13:40:51,424  not found
INFO  2017-02-17 13:40:56,431  page 3
INFO  2017-02-17 13:40:56,437  proxy added
INFO  2017-02-17 13:40:58,272  雅境新枫尚 1室1厅 245万
INFO  2017-02-17 13:40:58,274  秀山花园 2室1厅 310万
INFO  2017-02-17 13:40:58,275  小镇西西里聚贤里 3室2厅 345万
INFO  2017-02-17 13:40:58,280  南江西里 1室1厅 145万
INFO  2017-02-17 13:40:58,281  湯臣津湾一品 4室2厅 1500万
INFO  2017-02-17 13:40:58,286  荔红花园 2室1厅 230万
INFO  2017-02-17 13:40:58,287  凤岐东里 2室1厅 210万
INFO  2017-02-17 13:40:58,295  怡祥园 3室1厅 470万
INFO  2017-02-17 13:40:58,296  昆璞里 1室1厅 165万
INFO  2017-02-17 13:40:58,297  凌研里 2室1厅 165万
INFO  2017-02-17 13:40:58,302  宝翠花都探景园 1室1厅 160万
INFO  2017-02-17 13:40:58,303  金福里（滨海） 1室1厅 85万
INFO  2017-02-17 13:40:58,304  谊城公寓 2室2厅 340万
INFO  2017-02-17 13:40:58,309  同善里 2室1厅 310万
INFO  2017-02-17 13:40:58,313  吉星南里 1室0厅 220万
INFO  2017-02-17 13:40:58,318  第六田园优仕公寓 1室0厅 50万
INFO  2017-02-17 13:40:58,319  凤岐里    两室一厅    一厨一卫    偏单
INFO  2017-02-17 13:40:58,320  宸欣家园 2室1厅 190万
INFO  2017-02-17 13:40:58,325  伴山人家 1室1厅 110万
INFO  2017-02-17 13:40:58,326  集贤里（西青区） 2室2厅 265万
INFO  2017-02-17 13:40:58,331  冬云家园 1室1厅 110万
INFO  2017-02-17 13:40:58,336  福至里 1室1厅 180万
INFO  2017-02-17 13:40:58,337  昆仑里 2室1厅 134万
INFO  2017-02-17 13:40:58,342  懿德园 2室2厅 365万
INFO  2017-02-17 13:40:58,346  南荣里 2室1厅 350万
INFO  2017-02-17 13:40:58,351  地华里 1室1厅 255万
INFO  2017-02-17 13:40:58,356  荣鑫园 4室2厅 355万
INFO  2017-02-17 13:40:58,357  盛地里 2室1厅 330万
INFO  2017-02-17 13:40:58,362  郁园里 2室1厅 179万
INFO  2017-02-17 13:40:58,363  果园里 1室1厅 85万
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,368  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,369  not found
ERROR  2017-02-17 13:40:58,370  not found
ERROR  2017-02-17 13:40:58,370  not found
ERROR  2017-02-17 13:40:58,370  not found
ERROR  2017-02-17 13:40:58,370  not found
ERROR  2017-02-17 13:40:58,370  not found
INFO  2017-02-17 13:41:03,370  page 4
INFO  2017-02-17 13:41:03,372  proxy added
INFO  2017-02-17 14:39:51,716  proxy added
INFO  2017-02-17 14:39:53,074  诚基经贸中心 1室1厅 220万
INFO  2017-02-17 14:39:53,075  create file function start

INFO  2017-02-17 14:39:53,076  create file function end

INFO  2017-02-17 14:39:53,076  清枫园 2室1厅 252万
INFO  2017-02-17 14:39:53,077  create file function start

INFO  2017-02-17 14:39:53,078  create file function end

INFO  2017-02-17 14:39:53,078  富力湾天阔园 2室1厅 242万
INFO  2017-02-17 14:39:53,078  create file function start

INFO  2017-02-17 14:39:53,079  create file function end

INFO  2017-02-17 14:39:53,079  新津国际 1室0厅 85万
INFO  2017-02-17 14:39:53,079  create file function start

INFO  2017-02-17 14:39:53,080  create file function end

INFO  2017-02-17 14:39:53,080  景兴西里 1室1厅 100万
